영문공항명,한글공항명,공항코드1(IATA),공항코드2(ICAO),지역,영문국가명,한글국가명,영문도시명,도시명
Aerodrome de Meaux - Esbly,Meaux - Esbly 공항,XYB,CSLA,유럽,France,프랑스,Meaux / Esbly,모우 / 에스블리
Aeroparque Jorge Newbery Airport,아에르파크 호르헤 뉴베리 공항,AEP,SABE,중남미,Argentina,아르헨티나,Buenos Aires,부에노스 아이레스
Aeroporto Internacional de Foz do Iguacu,이과수폭포 공항,IGU,SBFI,중남미,Brazil,브라질,Foz Do Iguagu,포스 두 이구구
Afonso Pena Airport,아폰소 페냐 공항,CWB,SBCT,중남미,Brazil,브라질,Curitiba,쿠리치바
Agatti Aerodrome,아가티 비행장,AGX,VOAT,아시아,India,인도,Agatti,아가티
Agoncillo Airport,아곤칠로 공항,RJL,LERJ,유럽,Spain,스페인,Logrono,로고노
Agri Airport,아리 공항,AJI,LTCO,유럽,Turkey,터키,Agri,아그리
Aguni Airport,아구니 공항,AGJ,RORA,아시아,Japan,일본,Aguni,아구니
Ahe Airport,아헤 공항,AHE,NTHE,대양주,French Plynesia,프랑스령폴리네시아,Ahe,아헤
Ahwaz Airport,아와즈 공항,AWZ,OIAW,중동,Iran,이란,Ahvaz,아흐바즈
Ain Arnat Airport,아인 아낫 공항,QSF,DAAS,아프리카,Algeria,알제리,Setif,세티프
Ain el Bey Airport,아인 엘 베이 공항,CZL,DABC,아프리카,Algeria,알제리,Constantine,콘스탄틴
Aix Les Milles Airport,액스레밀 공항,QXB,LFMA,유럽,France,프랑스,Aix-en-Provence,엑스앙프로방스
Ajaccio Napoleon bonarparte Airportirport ,아작시오 나폴레옹 보나파르트 공항 ,AJA,LFKJ,유럽,France,프랑스,Ajaccio,아작시오
Akanu Ibiam International Airport,아쿠누 이비암 국제공항,ENU,DNEN,아프리카,Nigeria,나이지리아,Enugu,에누구
Akita Airport,아키타 공항,AXT,RJSK,아시아,Japan,일본,Akita,아키타
Akron-Canton Regional Airport,애크런 캔튼 지역공항,CAK,KCAK,북미,United States,미국,Akron OH,애크런 OH
Aksu Airport,아커쑤 공항,AKU,ZWAK,아시아,China,중국,Akesu,아케수
Aktion Airport,악티온 공항,PVK,LGPZ,유럽,Greece,그리스,Preveza/Lefkas,프레베자/레프카스
Akure Airport,아쿠레 공항,AKR,DNAK,아프리카,Nigeria,나이지리아,Akure,아큐레
Akureyri Airport,아쿠레이리 공항,AEY,BIAR,유럽,Iceland,아이슬란드,Akureyri,아쿠레이리
Al Ain International Airport,알아인 국제공항,AAN,OMAL,중동,United Arab Emirates,UAE,Al Ain,알 아인
Al Alamain International Airport,Al Alamain 국제 공항,DBB,HEAL[2],아프리카,Egypt,이집트,El Dabaa,엘다바
Al Bateen Executive Airport,알바틴 특급공항,AZI,OMAD,중동,United Arab Emirates,UAE,ABU DHABI,아부다비
Al Maktoum International Airport,알 막튬 국제공항,DWC,OMDW,중동,United Arab Emirates,UAE,Dubai,두바이
Al Massira Airport,알 마씨라 공항,AGA,GMAD,아프리카,Morocco,모로코,Agadir,아가디르
Al Wajh Domestic Airprot ,알 웨지 국내공항,EJH,OEWJ,중동,Saudi Arabia,사우디아라비아,Wedjh,웨지
al-Ahsa Domestic Airport,알 아샤 국내공항,HOF,OEAH,중동,Saudi Arabia,사우디아라비아,Al-Ahsa,알아사
Al-Aqiq Airport,알 아키크 공항,ABT,OEBA,중동,Saudi Arabia,사우디아라비아,Al-Baha,알바하
Albacete Airport,알바세테 공항,ABC,LEAB,유럽,Spain,스페인,Albacete,알바세테
Albany Airport,올버니 공항,ALH,YABA,대양주,Australia,오스트레일리아,Albany,올버니
Albany International Airport,올버니 국제공항,ALB,KALB,북미,United States,미국,Albany NY,올버니 NY
Albert - Bray Airport,앨버트 브라이 공항,BYF,LFAQ,유럽,France,프랑스,Albert,앨버트
Albuquerque International Sunport,앨버커키 국제선포트,ABQ,KABQ,북미,United States,미국,Albuquerque NM,앨버커키 NM
Albury Airport,엘버리 공항,ABX,YMAY,대양주,Australia,오스트레일리아,Albury,앨버리
Alejo Garcia Airport,알레죠 가르시아 공항,AGT,SGES,중남미,Paraguay,파라과이,Ciudad del Este,시우다드 델 에스테
Alex Papadiamantis Airport ,알렉스 파파디아만티스 ,JSI,LGSK,유럽,Greece,그리스,Skiathos,스키아토스
Alexand the Great Airport ,알렉산더 더 그레이트 공항 ,SKP,LWSK,유럽,North Macedonia,북마케도니아,Skopje,스코페
Alexandria International Airport,알렉산드리아 국제공항,AEX,KAEX,북미,United States,미국,Alexandria LA,알렉산드리아 LA
Alferez FAP David Figueroa Fernandini Airport,다비드 피게로아 페르난디니 공항,HUU,SPNC,중남미,Peru,페루,Huanuco ,화누코
Alfonso Bonilla Aragon Airport,알폰손 보닐랴 아라곤 공항,CLO,SKCL,중남미,Colombia,콜롬비아,Cali,칼리
Alfonso Lopez Pumarejo Airport,알폰소 로제즈 푸마레조 공항,VUP,SKVP,중남미,Colombia,콜롬비아,Valledupar,발레두파르
Al-Fujairah International Airport,알푸자이라 국제공항,FJR,OMFJ,중동,United Arab Emirates,UAE,Fujairah,푸자이라
Algeciars,알헤시라스공항,AEI,LEAG,유럽,Spain,스페인,Algeciras,알헤시라스
Alicante Airport,알리칸테 공항,ALC,LEAL,유럽,Spain,스페인,Alicante,알리칸테
Alice Springs Airport,앨리스 스프링스 공항,ASP,YBAS,대양주,Australia,오스트레일리아,Alice Springs,앨리스 스프링스
al-Jouf Domestic Airport,알 주프 국내공항,AJF,OESK,중동,Saudi Arabia,사우디아라비아,Al-Jouf,알주프
Allah Valley Airport,알라 밸리 공항,AAV,RPMA,아시아,Philippines,필리핀,Surallah,술랄라
Allama Iqbal International Airport,알라마 익발 국제공항,LHE,OPLA,아시아,Pakistan,파키스탄,Lahore,라호르 주
Almaty Airport,알마티 공항,ALA,UAAA,아시아,Kazakhstan,카자흐스탄,Almaty,알마티
Almeria International Airport,알메리아 국제공항,LEI,LEAM,유럽,Spain,스페인,Almerta,알메르타
Almirante Padilla Airport,알미란테 파딜랴 공항,RCH,SKRH,중남미,Colombia,콜롬비아,Riohacha,리오하차
Almirante Zar Airport,알미란테 챠르 공항,REL,SAVT,중남미,Argentina,아르헨티나,Trelew,트렐류
Alta Airport,알타 공항,ALF,ENAT,유럽,Norway,노르웨이,Alta,알타
Altamira Airport,알타미라 공항,ATM,SBHT,중남미,Brazil,브라질,Altamira,알타미라
Altay Airport,알타이 공항,AAT,ZWAT,아시아,China,중국,Aletai,알레타이
Alvarez International Airport ,알바레즈 국제공항 ,ACA,MMAA,중남미,Mexico,멕시코,Acapulco,아카풀코
Alxa Left Banner Bayanhot Airport,Alxa 레프트배너 Bayanhot 공항,AXF,,아시아,China,중국,Bayanhot,바얀핫
Alxa Right Banner Badanjilin Airport,Alxa Right Banner 바탄 지린 공항,RHT,ZBAR,아시아,China,중국,Badanjilin,바단질린
Alyangula Airport,알리앵굴라 공항,GTE,YGTE,대양주,Australia,오스트레일리아,Groote Eylandt,그루트 에일란트
Amado Nervo National Airport,아마도 네르보 내셔널 공항,TPQ,MMEP,중남미,Mexico,멕시코,Tepic,테픽
Amakusa Airfield,아마쿠사 비행장,AXJ,RJDA,아시아,Japan,일본,Amakusa,아마쿠사
Amami Airport,아마미 공항,ASJ,RJKA,아시아,Japan,일본,Amami,아마미
Amasya Merzifon Airport,아마시야 메르지폰 공항,MZH,LTAP,유럽,Turkey,터키,Amasya,아마시아
Amausi Airport,아마우시 공항,LKO,VILK,아시아,India,인도,Lucknow,행운을 빈다
Amborovy Airport,암보로비 공항,MJN,FMNM,아프리카,Madagascar,마다가스카르,Mahajanga,마하장가
Amiens - Glisy Airport,아미앵 글리시 공항,QAM,LFAY,유럽,France,프랑스,Amiens / Glisy,아미앵 / 글래시
Amilcar Cabral International Airport,아밀카르 카브럴 국제공항,SID,GVAC,아프리카,Cabo Verde,카보베르데,Ilha Do Sal,일하도살
Amman Civil - Marka Airport ,암만 시빌 마르카 공항,ADJ,OJAM,중동,Jordan,요르단,Amman,암만
Anaa Airport,아나 공항,AAA,NTGA,대양주,French Plynesia,프랑스령폴리네시아,Anaa,아나
Anadolu University Airport,아나둘루 유니버시티 공항,AOE,LTBY,유럽,Turkey,터키,Eskisehir,에스키세히르
Andahuaylas Airport,안다우아일라스 공항,ANS,SPHY,중남미,Peru,페루,Andahuaylas ,안다후야스
Andoya Airport,안도야 공항,ANX,ENAN,유럽,Norway,노르웨이,Andoya,안도야
Angel Albino Corzo International Airport,앙헬알비노코르조 국제공항,TGZ,MMTG,중남미,Mexico,멕시코,Tuxtla Gutierrez,툼스트라 구티에레스
Angelholm Helsingborg Airport,앙헬름 헬싱보리 공항,AGH,ESTA,유럽,Sweden,스웨덴,Angelholm,에인절홀름
Angkor International Airport,앙코르 국제공항,REP,VDSR,아시아,Cambodia,캄보디아,Siem Reap,시엠립
Ankang Wulipu Airport,안강 울리푸 공항,AKA,ZLAK,아시아,China,중국,Ankang,안캉
Annecy-Meythe Airport,안시 메이스 공항,NCY,LFLP,유럽,France,프랑스,Annecy,안시
Annisaton Airport,안니사톤 공항,MDL,VYMD,아시아,Myanmar,버마,Mandalay,만달레이
Anqing Airport,안칭 공항,AQG,ZSAQ,아시아,China,중국,Anqing,안칭
Anshan Airport,안산 공항,AOG,ZYAS,아시아,China,중국,Anshan,안산
Antalya Airport,안탈리아 공항,AYT,LTAI,유럽,Turkey,터키,Antalya,안탈리아
Antoine de Saint-Exupery Airport,안트완 데 생떽쥐베리 공항,LYS,LFLL,유럽,France,프랑스,Lyon,리옹
Antonio Borja Won Pat International Airport ,안토니오 보르냐 원 팟 국제공항,GUM,PGUM,대양주,Guam,괌,Hagatna,하갓나
Antonio Juarbe Pol Airport,Antonio Juarbe Pol 공항,ARE,TJAB,중남미,Puerto Rico,푸에르토리코,Arecibo,아레시보
Antonio Maceo Airport,안토니오 마세오 공항,SCU,MUCU,중남미,Cuba,쿠바,Santiago de Cuba ,산티아고 데 쿠바
Antonio Roldan Betancourt Airport,안토니오 롤란 베탄코트 공항,APO,SKLC,중남미,Colombia,콜롬비아,Apartado,파르타도
Antwerpen International Airport,앤트워프 국제공항 ,ANR,EBAW,유럽,Belgium,벨기에,Antwerp,앤트워프
Aomori Airport,아오모리 공항,AOJ,RJSA,아시아,Japan,일본,Aomori,아오모리
Apataki Airport,아파타키 공항,APK,NTGD,대양주,French Plynesia,프랑스령폴리네시아,Apataki,아파타키
Aracatuba Airport,아라카츄바 공항,ARU,SBAU,중남미,Brazil,브라질,Aracatuba,아라카투바
Arad International Airport,아라드 국제공항,ARW,LRAR,유럽,Romania,루마니아,Arad,아라드
Arak Airport,Arak 공항,AJK,OIHR,중동,Iran,이란,Arak,아라크
Arar Domestic Airport,아라 국내공항,RAE,OERR,중동,Saudi Arabia,사우디아라비아,Arar,아라르
Araraquara Airport,아라라쿠아라 공항,AQA,SBAQ,중남미,Brazil,브라질,Araraquara,아라라콰라
Aratika-Nord Airport,아라티카노르드 공항,RKA,NTKK,대양주,French Plynesia,프랑스령폴리네시아,Aratika,아라티카
Araxos Airport,아락소스 공항,GPA,LGRX,유럽,Greece,그리스,Araxos/Patras,아락소스/패트라스
Ardabil Airport,아드블 공항,ADU,OITL,중동,Iran,이란,Ardabil,아르다빌
Aristotelis Airport,아리스토텔스 공항,KSO,LGKA,유럽,Greece,그리스,Kastoria,카스토리아
Arlanda Airport,알란다 공항,ARN,ESSA,유럽,Sweden,스웨덴,Stockholm,스톡홀름
Armidale Airport,아미데일 공항,ARM,YARM,대양주,Australia,오스트레일리아,Armidale,아미데일
Armor Airport,아머 공항,SBK,LFAZ,유럽,France,프랑스,Saint-Brieuc,생브리외크 주
Arnage Airport,아르나쥐 공항,LME,LFRM,유럽,France,프랑스,Arnage,아르나쥬
Arras Roclincourt Airport,아라스 로클랭쿠르 공항,QRV,LFQD,유럽,France,프랑스,Arras / Roclincourt,아라스 / 로클랭쿠르
Arrecife Airport,아리시페 공항,ACE,GCRR,유럽,Spain,스페인,Lanzarote,란자로테
Arroyo Barril Airport,아로요 바릴 공항,EPS,MDAB,중남미,Dominican Republic,도미니카공화국,SAMANA,사마나
Arturo Merino Benitez Airport ,아우투로 메리노 베니테즈 공항,SCL,SCEL,중남미,Chile,칠레,Santiago,산티아고
Arusha Airport,아루샤 공항,ARK,HTAR,아프리카,Tanzania,탄자니아,Arusha,아루샤
Arutua Airport,아루투아 공항,AXR,NTGU,대양주,French Plynesia,프랑스령폴리네시아,Arutua,아루투아
Arvidsjaur Airport,아르비스야우르 공항,AJR,ESNX,유럽,Sweden,스웨덴,Arvidsjaur,아르비자우르
Arxan Yiershi Airport,Arxan Yiershi Airport,YIE,ZBES,아시아,China,중국,Arxan,아르산
Asahikawa Airport,아사히카와 공항,AKJ,RJEC,아시아,Japan,일본,Asahikawa,아사히카와
Asau Airport,아사우 공항,AAU,NSAU,대양주,Samoa,사모아,Apia,아피아
Asheville Regional Airport,애슈빌 공항,AVL,KAVL,북미,United States,미국,Asheville NC,애쉬빌 NC
Aspen-Pitkin County Airport,아스펜 핏킨 공항,ASE,KASE,북미,United States,미국,Aspen CO,아스펜 CO
Astana International Airport,아스타나 국제공항,TSE,UACC,아시아,Kazakhstan,카자흐스탄,Astana,아스타나
Astor Piazzola International Airport ,아스토 피아졸라 국제공항 ,MDQ,SAZM,중남미,Argentina,아르헨티나,Mar Del Plata,마르 델 플라타
Astrakhan Airport,아스트라한 공항,ASF,URWA,유럽,Russia,러시아,Astrakhan,아스트라한
Asturias Airport,아스투리아스 공항,OVD,LEAS,유럽,Spain,스페인,Asturias,아스투리아스
Astypalaia Island National Airport,아스챠이팔리야 아일랜드 내셔널 공항,JTY,LGPL,유럽,Greece,그리스,Astypalaia,아스티팔리아
Aswan International Airport ,아스완국제공항,ASW,HESN,아프리카,Egypt,이집트,Aswan,아스완
Asyuy Airport,앗슈이 공항,ATZ,HEAT,아프리카,Egypt,이집트,Assiut,어시트
Ataturk Airport,아타투르크 공항,IST,LTBA,유럽,Turkey,터키,Istanbul,이스탄불
Atlantic City International Airport,애틀랜틱시티 국제공항,ACY,KACY,북미,United States,미국,Atlantic City NJ,애틀랜틱 시티 NJ
Atlantique Airport,아틀란티끄 공항,NTE,LFRS,유럽,France,프랑스,Nantes,낭트
Atuona Airport,아투오나 공항,AUQ,NTMN,대양주,French Plynesia,프랑스령폴리네시아,Atuona,아투오나
Atuona Airport,아투오나 공항,HIX,NTMN,대양주,French Plynesia,프랑스령폴리네시아,Hiva Oa,히바 오아
Auckland International Airport,오클랜드 국제공항,AKL,NZAA,대양주,New Zealand,뉴질랜드,Auckland,오클랜드
Augusta Regional Airport,오거스타 지역공항,AGS,KAGS,북미,United States,미국,Augusta GA,오거스타 GA
Augusto C. Sandino Airport ,아우구스토 C. 산디모 공항 ,MGA,MNMG,중남미,Nicaragua,니카라과,Managua,마나과
Augusto Severo Airport,아우구스토 세베로 공항,NAT,SBNT,중남미,Brazil,브라질,Natal,나탈
Aurillac Airport,오리락 공항,AUR,LFLW,유럽,France,프랑스,Aurillac,오릴락
Aurukun Airport,Aurukun Airport,AUU,YAUR,대양주,Australia,오스트레일리아,Aurukun,아우루쿤
Austin-Bergstrom International Airport,오스틴 벅스트롬 국제공항,AUS,KAUS,북미,United States,미국,Austin TX,오스틴 TX
Austin-Straubel Field Airport,오스튼 스트로벨 필드 공항,GRB,KGRB,북미,United States,미국,Green Bay WI,그린베이 WI
Auxerre Branches Airport,오세르 블랑슈 공항,AUF,LFLA,유럽,France,프랑스,Auxerre,오세르
Avarua Airport,아바루아 공항,AIT,NCAI,대양주,Cook Islands,쿡 군도,Aitutaki,아이투타키
Avesta Krylbo,아베 스타 크릴 보 공항,XYP,,유럽,France,프랑스,Persan / Beaumont,페르산 / 보몬트
Avignon-Caum Airport,아비뇽 코움 공항,AVN,LFMV,유럽,France,프랑스,Avignon,아비뇽
Awang Airport,아왕 공항,CBO,RPMC,아시아,Philippines,필리핀,Cotabato,코타바토
Axamo Airport,악사모 공항,JKG,ESGJ,유럽,Sweden,스웨덴,Jonkoping,존코핑
Aydın Airport,아이딘 공항,CII,LTBD,유럽,Turkey,터키,Aydin,아이딘
Ba Airport,바 공항,BFJ,NFFA,아시아,China,중국,Bijie,비제
Babimost Airport,바비모스트 공항,IEG,EPZG,유럽,Poland,폴란드,Babimost,바비모스트
Bacacheri Airport,바스케리 공항,BFH,SBBI,중남미,Brazil,브라질,Curitiba,쿠리치바
Bacau International Airport,바커우 국제공항,BCM,LRBC,유럽,Romania,루마니아,Bacau,바카우
Bacolod City Domestic Airport,바콜로드 국내공항,BCD,RPVB,아시아,Philippines,필리핀,Bacolod,바콜로드
Badajoz Airport,바다호스 공항,BJZ,LEBZ,유럽,Spain,스페인,Badajoz,바다호스
Bagdogra Airport / Bagdogra Air Force Base,바그도그라 공항,IXB,VEBD,아시아,India,인도,Bagdogra,바그도그라
Baginton Airport,배징턴 공항,CVT,EGBE,유럽,United Kingdom,영국,Coventry,코번트리
Bahawalpur Airport,바하왈퍼 공항,BHV,OPBW,아시아,Pakistan,파키스탄,Bahawalpur,바하왈푸르
Bahias de Huatulco International Airport,버하이 데 후아츌코 국제공항,HUX,MMBT,중남미,Mexico,멕시코,Huatulco,화툴코
Bahrain International Airport,바레인 국제공항,BAH,OBBI,중남미,Bahamas,바하마,Bahrain,바레인
Baia Mare Airport,바이아마레 공항,BAY,LRBM,유럽,Romania,루마니아,Baia Mare,바이아 마레
Baicheng Changan Airport,백성 장안 공항,DBC,,아시아,China,중국,Baicheng,바이청
Baillif Airport,베일리프 공항,BBR,TFFB,중남미,Guadeloupe,과들루프,Basse Terre,바세 테레
Baise Bama Airport,바이스 바마 공항,AEB,ZGBS,아시아,China,중국,Baise,바이세
Baiyun Airport,바이윤 공항,CAN,ZGGG,아시아,China,중국,Guangzhou,광저우
Bajpe Airport,바즈페 공항,IXE,VOML,아시아,India,인도,Mangalore,망갈로르
Balandino Airport,발란디노 공항,CEK,USCC,유럽,Russia,러시아,Chelyabinsk,첼랴빈스크
Baler Airport,발러 공항,BQA,RPUR,아시아,Philippines,필리핀,Baler,발레르
Balıkesir Airport ,발리케시르 공항 ,BZI,LTBF,유럽,Turkey,터키,Balikesir,발리케르
Ballina Byron Gateway Airport,밸리나 바이런 게이트웨이 공항,BNK,YBNA,대양주,Australia,오스트레일리아,Ballina,발리나
Baltimore - Washington International Thurgood Marshall Airport,볼티모어 워싱턴 국제공항 ,BWI,KBWI,북미,United States,미국,Baltimore MD,볼티모어 MD
Baltra Airport,발트라 공항,GPS,SEGS,중남미,Ecuador,에콰도르,Baltra,발트라
Bam Airport,밤 공항,BXR,OIKM,중동,Iran,이란,Bam,밤
Bamenda Airport,바멘다 공항,BPC,FKKV,아프리카,Cameroon,카메룬,Bamenda,바멘다
Bamrauli Airport,밤라울리 공항,IXD,VIAL,아시아,India,인도,Allahabad,알라하바드
Ban Huoeisay Airport ,반 핫 사이 공항,HOI,VLHS,대양주,French Plynesia,프랑스령폴리네시아,Hao Island,하오 섬
Banak Airport,바낙 공항,LKL,ENNA,유럽,Norway,노르웨이,Lakselv,라켈프
Bandar Abbass International Airport,반다르압바스 국제공항,BND,OIKB,중동,Iran,이란,Bandar Abbas,반다르 압바스
Bandar Lengeh Airport,반다랭게 공항,BDH,OIBL,중동,Iran,이란,Bandar Lengeh,반다르렝게
Bandaranaike International Airport,밴다라나이크 국제공항,CMB,VCBI,아시아,Sri Lanka,스리랑카,Colombo,콜롬보
Bangor International Airport,뱅거 국제공항,BGR,KBGR,북미,United States,미국,Bangor ME,뱅고어 ME
Bangui MPoko International Airport,방기 음포코 국제공항,BGF,FEFF,아프리카,Central African Republic,중앙아프리카공화국,Bangui,방기
Banja Luka International Airport,바냐루카 국제공항,BNX,LQBK,유럽,Bosnia and Herzegovina,보스니아 헤르체고비나,Banja Luka,바냐 루카
Banyuwangi Airport,반유방기 공항,BWX,WADY,아시아,Indonesia,인도네시아,Banyuwangi,반유왕기
Baoshan Airport,바오산 공항,BSD,ZPBS,아시아,China,중국,Baoshan,바오산
Baotou Airport,바오터우 공항,BAV,ZBOW,아시아,China,중국,Baotou,바오터우
Barca Airport ,바르카 공항 ,KSC,LZKZ,유럽,Slovakia,슬로바키아,Kosice,코시체
Barcelona International Airport,바르셀로나 국제공항,BCN,LEBL,유럽,Spain,스페인,Barcelona,바르셀로나
Bardufoss Airport,바두포스 공항,BDU,ENDU,유럽,Norway,노르웨이,Bardufoss,바르두포스
Bari Karol Wojtyła International Airport ,바리 카롤 워틸랴 국제공항 ,BRI,LIBD,유럽,Italy,이탈리아,Bari,바리
Bario Airport,바리오 공항,BBN,WBGZ,아시아,Malaysia,말레이시아,Bario ,바리오
Barkley Regional Airport,바클리 지역공항,PAH,KPAH,북미,United States,미국,Paducah KY,파두카 KY
Barnaul Airport,바르나울 공항,BAX,UNBB,유럽,Russia,러시아,Barnaul,바르나울
Barranco Minas Airport,Barranco Minas Airport,NBB,SKBM,중남미,Colombia,콜롬비아,Barranco Minas,바랑코 미나스
Basco Airport,바스코 공항,BSO,RPUO,아시아,Philippines,필리핀,Basco,바스코
Bathurst Island Airport,베더스트아일랜드 공항,BRT,YBTI,대양주,Australia,오스트레일리아,Bathurst,배서스트
Batman Airport,바트만 공항,BAL,LTCJ,유럽,Turkey,터키,Batman,배트맨
Batna Airport,바트나 공항,BLJ,DABT,아프리카,Algeria,알제리,Batna,밧나
Baton Rouge Metropolitan Airport,배턴루지 메트로폴리탄 공항,BTR,KBTR,북미,United States,미국,Baton Rouge LA,배턴루지 LA
Batsfjord Airport,보트스피오르 공항,BJF,ENBS,유럽,Norway,노르웨이,Batsfjord,박쥐피오르
Batu Berendum Airport,바투 베렌둠 공항,MKZ,WMKM,아시아,Malaysia,말레이시아,Malacca,말라카 주
Batumi Airport,바투미 공항,BUS,UGSB,아시아,Georgia,조지아,Batumi,바투미
Bayannur Tianjitai Airport,Bayannur Tianjitai 공항,RLK,ZBYZ,아시아,China,중국,Bayannur,바야누르 주
Bazhong Enyang Airport,바중 엔양 공항,BZX,ZUBZ,아시아,China,중국,Bazhong ,바중
Beauvais Airport ,보배 공항 ,BVA,LFOB,유럽,France,프랑스,Beauvais,보베
Begishevo Airport,베지쉐프 공항,NBC,UWKE,유럽,Russia,러시아,Naberevnye Chelny,나베레브니예 첼니
Beigan Airport,베이간 공항,MFK,RCMT,아시아,Chinese Taipei,대만,Beigan ,베이건
Beihai Airport,베이하이 공항,BHY,ZGBH,아시아,China,중국,Beihai,베이하이
Beijing Capital Airport,베이징 캐피탈 공항,PEK,ZBAA,아시아,China,중국,Beijing,베이징
Beijing Daxing International Airport,베이징 다싱 국제공항,PKX,ZBAD,아시아,China,중국,Beijing ,베이징
Beira Airport,베이라 공항,BEW,FQBR,아프리카,Mozambique,모잠비크,Beira,베이라
Beirut International Airport ,베이루트 국제공항 ,BEY,OLBA,중동,Lebanon,레바논,Beirut,베이루트
Beja Air Base,베자 에어베이스,BYJ,LPBJ,유럽,Portugal,포르투갈,Beja,베자
Belaga Airport,벨라가 공항,BLG,WBGC,아시아,Malaysia,말레이시아,Belaga ,벨라가
Belaya Gora Airport,벨라야 고라 공항,BGN,UESG,아시아,Philippines,필리핀,Bagabag,바가백
Belfast City Airport,벨파스트 시티 공항,BHD,EGAC,유럽,United Kingdom,영국,Belfast,벨파스트
Belfast International Airport,벨파스트 국제공항,BFS,EGAA,유럽,United Kingdom,영국,Belfast,벨파스트
Belgorod Airport,벨고로드 공항,EGO,UUOB,유럽,Russia,러시아,Belgorod,벨고로드 주
Belgrade Nikola Tesla International Airport,벨그라드 국제공항,BEG,LYBE,유럽,Serbia and Montenegro,세르비아,Belgrade,베오그라드
Bellingham International Airport,벨링헴 국제공항,BLI,KBLI,북미,United States,미국,Bellingham WA,벨링엄 워싱턴 주
Belmonte Airport,벨몬테 공항,PVH,SBPV,중남미,Brazil,브라질,Porto Velho,포르투 벨류
Belo Horizonte International Airport,벨루 오리 존치 국제 공항,BHZ,SBCF,중남미,Brazil,브라질,Belo Horizonte,벨로오리존치
Beloyarsk Airport,벨로스타크 공항,EYK,USHQ,유럽,Russia,러시아,Beloyarsky,벨로야르스키
Belp Airport ,벨프 공항,BRN,LSZB,유럽,Switzerland,스위스,Bern,베른
Ben Gurion International Airport,반구리온 국제공항,TLV,LLBG,중동,Israel,이스라엘,Tel-Aviv,텔아비브
Ben Slimane Airport,벤슬리만 공항,GMD,GMMB,아프리카,Morocco,모로코,Ben Slimane,벤 슬리먼
Benazir Bhutto International Airport ,베나지르 부토 국제공항 ,ISB,OPRN,아시아,Pakistan,파키스탄,Islamabad,이슬라마바드
